Binlow , 0.0
Binint , 0.06
nbins  , 50
Trials , 1000000
Integral , 454694
Overflows , 545306
Underflows , 0
bin# , bin_centre , counts , error
0,0.03,0,0.0
1,0.09,0,0.0
2,0.15,45073,212.30402728163213
3,0.21,0,0.0
4,0.27,0,0.0
5,0.32999999999999996,0,0.0
6,0.39,0,0.0
7,0.44999999999999996,123336,351.19225503988554
8,0.51,0,0.0
9,0.5700000000000001,0,0.0
10,0.63,0,0.0
11,0.69,0,0.0
12,0.75,147003,383.40970253763794
13,0.81,0,0.0
14,0.87,0,0.0
15,0.9299999999999999,0,0.0
16,0.99,0,0.0
17,1.05,99048,314.71892221472797
18,1.11,0,0.0
19,1.17,0,0.0
20,1.23,0,0.0
21,1.29,0,0.0
22,1.3499999999999999,34438,185.5747827696425
23,1.41,0,0.0
24,1.47,0,0.0
25,1.53,0,0.0
26,1.59,0,0.0
27,1.65,5453,73.84443106964804
28,1.71,0,0.0
29,1.77,0,0.0
30,1.8299999999999998,0,0.0
31,1.89,0,0.0
32,1.95,338,18.384776310850235
33,2.01,0,0.0
34,2.07,0,0.0
35,2.13,0,0.0
36,2.19,0,0.0
37,2.2499999999999996,5,2.23606797749979
38,2.3099999999999996,0,0.0
39,2.3699999999999997,0,0.0
40,2.4299999999999997,0,0.0
41,2.4899999999999998,0,0.0
42,2.55,0,0.0
43,2.61,0,0.0
44,2.6699999999999995,0,0.0
45,2.7299999999999995,0,0.0
46,2.7899999999999996,0,0.0
47,2.8499999999999996,0,0.0
48,2.9099999999999997,0,0.0
49,2.9699999999999998,0,0.0
