Binlow , -0.1
Binint , 0.004
nbins  , 100
Trials , 1000000
Integral , 999953
Overflows , 47
Underflows , 0
bin# , bin_centre , counts , error
0,-0.098,0,0.0
1,-0.094,0,0.0
2,-0.09,0,0.0
3,-0.08600000000000001,0,0.0
4,-0.082,0,0.0
5,-0.078,0,0.0
6,-0.07400000000000001,0,0.0
7,-0.07,0,0.0
8,-0.066,0,0.0
9,-0.062,0,0.0
10,-0.058,0,0.0
11,-0.054000000000000006,0,0.0
12,-0.05,0,0.0
13,-0.046,1,1.0
14,-0.042,4,2.0
15,-0.038000000000000006,3,1.7320508075688772
16,-0.034,45,6.708203932499369
17,-0.03,159,12.609520212918492
18,-0.025999999999999995,560,23.664319132398465
19,-0.022000000000000006,1714,41.400483088968905
20,-0.018000000000000002,4309,65.64297372910524
21,-0.013999999999999999,9584,97.89790600416333
22,-0.010000000000000009,18010,134.2013412749664
23,-0.006000000000000005,30629,175.0114281982751
24,-0.0020000000000000018,44696,211.41428523162762
25,0.0020000000000000018,58811,242.50979361667027
26,0.006000000000000005,69978,264.5335517472217
27,0.009999999999999995,75592,274.939993453117
28,0.013999999999999999,75647,275.03999709133217
29,0.018000000000000002,71739,267.84137096423325
30,0.021999999999999992,65527,255.98242127146153
31,0.025999999999999995,58250,241.3503677229434
32,0.03,51807,227.6115111324557
33,0.034,45135,212.44999411626256
34,0.038000000000000006,39774,199.43419967498053
35,0.04200000000000001,34824,186.61189672687001
36,0.04600000000000001,30269,173.9798838946618
37,0.04999999999999999,26552,162.94784441654943
38,0.05399999999999999,23340,152.77434339574168
39,0.057999999999999996,20401,142.83206922816737
40,0.062,17697,133.03007178829907
41,0.066,15529,124.61540835707277
42,0.07,13655,116.85461052093751
43,0.07400000000000001,11957,109.34806811279292
44,0.07799999999999999,10496,102.44998779892558
45,0.08199999999999999,9172,95.77055915050303
46,0.086,8001,89.44830909525345
47,0.09,6939,83.30066026148893
48,0.094,6120,78.23042886243178
49,0.098,5480,74.02702209328699
50,0.10200000000000001,4675,68.37397165588672
51,0.10600000000000001,4060,63.71812928829596
52,0.11000000000000001,3553,59.60704656330491
53,0.11399999999999999,3139,56.02677931132576
54,0.118,2723,52.182372502598994
55,0.122,2389,48.877397639399746
56,0.126,2145,46.314144707637645
57,0.13,1920,43.81780460041329
58,0.134,1571,39.63584236521283
59,0.138,1491,38.61346915261564
60,0.142,1290,35.91656999213594
61,0.146,1022,31.96873472629156
62,0.15,940,30.659419433511783
63,0.154,859,29.30870177950569
64,0.158,723,26.888659319497503
65,0.162,618,24.859605789312106
66,0.166,545,23.345235059857504
67,0.17,489,22.11334438749598
68,0.17400000000000002,444,21.071307505705477
69,0.17800000000000002,403,20.074859899884732
70,0.18200000000000002,349,18.681541692269406
71,0.18600000000000003,276,16.61324772583615
72,0.19000000000000003,265,16.278820596099706
73,0.19399999999999998,226,15.033296378372908
74,0.19799999999999998,181,13.45362404707371
75,0.20199999999999999,166,12.884098726725126
76,0.206,143,11.958260743101398
77,0.21,124,11.135528725660043
78,0.214,113,10.63014581273465
79,0.218,99,9.9498743710662
80,0.222,78,8.831760866327848
81,0.226,73,8.54400374531753
82,0.23,66,8.12403840463596
83,0.234,51,7.14142842854285
84,0.23800000000000002,43,6.557438524302
85,0.24200000000000002,52,7.211102550927978
86,0.24600000000000002,45,6.708203932499369
87,0.25,32,5.656854249492381
88,0.254,28,5.291502622129181
89,0.258,24,4.898979485566356
90,0.262,19,4.358898943540674
91,0.266,13,3.605551275463989
92,0.27,18,4.242640687119285
93,0.274,10,3.1622776601683795
94,0.278,8,2.8284271247461903
95,0.28200000000000003,9,3.0
96,0.28600000000000003,11,3.3166247903554
97,0.29000000000000004,9,3.0
98,0.29400000000000004,7,2.6457513110645907
99,0.29800000000000004,10,3.1622776601683795
