Binlow , -0.1
Binint , 0.004
nbins  , 100
Trials , 1000000
Integral , 999956
Overflows , 44
Underflows , 0
bin# , bin_centre , counts , error
0,-0.098,0,0.0
1,-0.094,0,0.0
2,-0.09,0,0.0
3,-0.08600000000000001,0,0.0
4,-0.082,0,0.0
5,-0.078,0,0.0
6,-0.07400000000000001,0,0.0
7,-0.07,0,0.0
8,-0.066,0,0.0
9,-0.062,0,0.0
10,-0.058,0,0.0
11,-0.054000000000000006,0,0.0
12,-0.05,0,0.0
13,-0.046,0,0.0
14,-0.042,0,0.0
15,-0.038000000000000006,0,0.0
16,-0.034,0,0.0
17,-0.03,0,0.0
18,-0.025999999999999995,0,0.0
19,-0.022000000000000006,0,0.0
20,-0.018000000000000002,0,0.0
21,-0.013999999999999999,0,0.0
22,-0.010000000000000009,0,0.0
23,-0.006000000000000005,0,0.0
24,-0.0020000000000000018,0,0.0
25,0.0020000000000000018,124598,352.98441891958913
26,0.006000000000000005,109647,331.1298838824427
27,0.009999999999999995,95767,309.4624371389846
28,0.013999999999999999,83807,289.49438681950295
29,0.018000000000000002,73573,271.2434331002319
30,0.021999999999999992,63957,252.89721232152797
31,0.025999999999999995,56258,237.1876893938638
32,0.03,49180,221.76564206386885
33,0.034,42805,206.89369250897911
34,0.038000000000000006,37720,194.21637418096344
35,0.04200000000000001,32790,181.08009277664954
36,0.04600000000000001,28539,168.93489870361304
37,0.04999999999999999,25299,159.05659370173876
38,0.05399999999999999,22278,149.2581656057718
39,0.057999999999999996,18907,137.5027272456805
40,0.062,16831,129.7343439494724
41,0.066,14724,121.3424904969401
42,0.07,12556,112.05355862265152
43,0.07400000000000001,11303,106.31556800393817
44,0.07799999999999999,9885,99.42333730065593
45,0.08199999999999999,8599,92.73079315955407
46,0.086,7693,87.70974860299168
47,0.09,6686,81.76796438703852
48,0.094,5899,76.8049477572897
49,0.098,5055,71.09852319141376
50,0.10200000000000001,4368,66.09084656743322
51,0.10600000000000001,3807,61.7008914036094
52,0.11000000000000001,3439,58.642987645583
53,0.11399999999999999,3047,55.19963767997033
54,0.118,2620,51.18593556827891
55,0.122,2349,48.46648326421054
56,0.126,1981,44.50842616853577
57,0.13,1757,41.916583830269374
58,0.134,1548,39.344631145812
59,0.138,1381,37.16180835212409
60,0.142,1169,34.19064199455752
61,0.146,1012,31.811947441173732
62,0.15,870,29.49576240750525
63,0.154,751,27.40437921208944
64,0.158,687,26.210684844162312
65,0.162,605,24.596747752497688
66,0.166,539,23.2163735324878
67,0.17,455,21.330729007701542
68,0.17400000000000002,411,20.273134932713294
69,0.17800000000000002,388,19.697715603592208
70,0.18200000000000002,318,17.832554500127006
71,0.18600000000000003,298,17.26267650163207
72,0.19000000000000003,234,15.297058540778355
73,0.19399999999999998,180,13.416407864998739
74,0.19799999999999998,195,13.96424004376894
75,0.20199999999999999,173,13.152946437965905
76,0.206,130,11.40175425099138
77,0.21,126,11.224972160321824
78,0.214,86,9.273618495495704
79,0.218,90,9.486832980505138
80,0.222,82,9.055385138137417
81,0.226,73,8.54400374531753
82,0.23,64,8.0
83,0.234,57,7.54983443527075
84,0.23800000000000002,44,6.6332495807108
85,0.24200000000000002,44,6.6332495807108
86,0.24600000000000002,25,5.0
87,0.25,40,6.324555320336759
88,0.254,15,3.872983346207417
89,0.258,29,5.385164807134504
90,0.262,19,4.358898943540674
91,0.266,15,3.872983346207417
92,0.27,14,3.7416573867739413
93,0.274,10,3.1622776601683795
94,0.278,11,3.3166247903554
95,0.28200000000000003,12,3.4641016151377544
96,0.28600000000000003,10,3.1622776601683795
97,0.29000000000000004,9,3.0
98,0.29400000000000004,9,3.0
99,0.29800000000000004,4,2.0
