Binlow , 0.0
Binint , 0.06
nbins  , 50
Trials , 1000000
Integral , 1000000
Overflows , 0
Underflows , 0
bin# , bin_centre , counts , error
0,0.03,4078,63.85922016435841
1,0.09,11888,109.03210536351209
2,0.15,20051,141.60155366379283
3,0.21,27659,166.3099515964093
4,0.27,35175,187.5499933351105
5,0.32999999999999996,42169,205.35091916034852
6,0.39,48553,220.34745290109436
7,0.44999999999999996,54755,233.99786323810736
8,0.51,59494,243.91391924201457
9,0.5700000000000001,62714,250.42763425788297
10,0.63,64736,254.43270230062802
11,0.69,65893,256.69631863351685
12,0.75,65479,255.88864765753092
13,0.81,63262,251.51938295089704
14,0.87,60034,245.01836665850175
15,0.9299999999999999,55103,234.7402820139739
16,0.99,49736,223.0156945149825
17,1.05,43725,209.10523666326483
18,1.11,37524,193.71112513224426
19,1.17,31526,177.5556250869006
20,1.23,25631,160.09684569035082
21,1.29,20267,142.36221408786813
22,1.3499999999999999,15482,124.42668524074729
23,1.41,11387,106.70988707706518
24,1.47,8210,90.60905032059435
25,1.53,5615,74.93330367733695
26,1.59,3679,60.654760736483
27,1.65,2479,49.78955713801841
28,1.71,1583,39.786932528155525
29,1.77,945,30.740852297878796
30,1.8299999999999998,548,23.40939982143925
31,1.89,303,17.406895185529212
32,1.95,148,12.165525060596439
33,2.01,103,10.14889156509222
34,2.07,32,5.656854249492381
35,2.13,23,4.795831523312719
36,2.19,5,2.23606797749979
37,2.2499999999999996,3,1.7320508075688772
38,2.3099999999999996,2,1.4142135623730951
39,2.3699999999999997,1,1.0
40,2.4299999999999997,0,0.0
41,2.4899999999999998,0,0.0
42,2.55,0,0.0
43,2.61,0,0.0
44,2.6699999999999995,0,0.0
45,2.7299999999999995,0,0.0
46,2.7899999999999996,0,0.0
47,2.8499999999999996,0,0.0
48,2.9099999999999997,0,0.0
49,2.9699999999999998,0,0.0
