Binlow , 0.0
Binint , 0.06
nbins  , 50
Trials , 1000000
Integral , 1000000
Overflows , 0
Underflows , 0
bin# , bin_centre , counts , error
0,0.03,4026,63.45076831686122
1,0.09,11849,108.85311203635843
2,0.15,19984,141.36477637657833
3,0.21,27746,166.57130605239308
4,0.27,35128,187.42465152695362
5,0.32999999999999996,42107,205.19990253408992
6,0.39,48742,220.7759044823506
7,0.44999999999999996,54135,232.66929320389488
8,0.51,59673,244.28057638707176
9,0.5700000000000001,62710,250.41964779146224
10,0.63,65286,255.51125219841103
11,0.69,65771,256.4585736527442
12,0.75,65148,255.24106252717255
13,0.81,63393,251.77966558084074
14,0.87,60356,245.67458150976873
15,0.9299999999999999,55305,235.17015116719213
16,0.99,49782,223.118802434936
17,1.05,43701,209.04784141435184
18,1.11,38049,195.06152875439074
19,1.17,31090,176.32356620712955
20,1.23,25689,160.27788368954714
21,1.29,19843,140.86518377512593
22,1.3499999999999999,15227,123.39773093537822
23,1.41,11392,106.73331251301067
24,1.47,8244,90.79647570252934
25,1.53,5622,74.97999733262199
26,1.59,3947,62.82515419798029
27,1.65,2459,49.58830507286975
28,1.71,1584,39.7994974842648
29,1.77,909,30.14962686336267
30,1.8299999999999998,527,22.956480566497994
31,1.89,285,16.881943016134134
32,1.95,150,12.24744871391589
33,2.01,81,9.0
34,2.07,33,5.744562646538029
35,2.13,18,4.242640687119285
36,2.19,4,2.0
37,2.2499999999999996,4,2.0
38,2.3099999999999996,0,0.0
39,2.3699999999999997,0,0.0
40,2.4299999999999997,0,0.0
41,2.4899999999999998,1,1.0
42,2.55,0,0.0
43,2.61,0,0.0
44,2.6699999999999995,0,0.0
45,2.7299999999999995,0,0.0
46,2.7899999999999996,0,0.0
47,2.8499999999999996,0,0.0
48,2.9099999999999997,0,0.0
49,2.9699999999999998,0,0.0
